"filename", "language", "Markdown", "Ignore", "Properties", "JavaScript", "XML", "SCSS", "JavaScript JSX", "CSS", "JSON", "HTML", "Docker", "comment", "blank", "total"
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\RegistrationHotel\components\StepsRegistration\StepOne.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 1, 5, 45
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\RegistrationHotel\components\StepsRegistration\StepThree.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 1, 2, 30
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\RegistrationHotel\components\StepsRegistration\StepTwo.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 1, 2, 31
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\RegistrationHotel\components\StepsRegistration\StepsRegistration.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 138, 0, 0, 0, 0, 1, 12, 151
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\RegistrationHotel\style.scss", "SCSS", 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 9, 58
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Registration\RegistrationPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 120, 0, 0, 0, 0, 0, 6, 126
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Room\AllRooms\Room.scss", "SCSS", 0, 0, 0, 0, 0, 118, 0, 0, 0, 0, 0, 0, 15, 133
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Room\AllRooms\RoomCreate.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 356, 0, 0, 0, 0, 27, 23, 406
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Room\AllRooms\RoomPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 323, 0, 0, 0, 0, 30, 13, 366
"p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Room\RepairRoom\RepairRoom.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 3, 43
